uoln,uold 0,uold 1,uold 2,uold 3,ucld 0,ucld 1,ucld 2,ucld 3,uclp 0 -r,uclp 0 -i,uclp 1 -r,uclp 1 -i,uclp 2 -r,uclp 2 -i,PO max,Ts max,c min,phase deficiency max,sigma_d min,pd -r,pd -i,pd phase,new c,new PO,new Ts,required additional phase,Gc-z,Gc-p,Gc-k,ccln,ccld 0,ccld 1,ccld 2,ccld 3,cclp 0 -r,cclp 0 -i,cclp 1 -r,cclp 1 -i,cclp 2 -r,cclp 2 -i
7.0,1.1951763039498742,6.45049550797696,7.613656939329726,1.0,8.195176303949875,6.45049550797696,7.613656939329726,1.0,-6.846313268018664,0.0,-0.38367183565553487,-1.0246054228211687,-0.38367183565553487,1.0246054228211687,22.05117279180422,8.173067486136777,0.43362600467838636,64.30210339670617,0.4894123297996539,-1.0057332648041408,-0.08781668268136604,21.90405339113406,0.9962096113933641,2.3674585984569363e-14,3.9771976725647735,200.70607205814503,-0.6739747208986646,-0.9725394697629302,0.056658148936026116,0.3966070425521828,2.1212357161124706,8.522439986720638,7.912221688193991,1.0,-6.684791054313666,0.0,-0.8572801433829007,0.0,-0.37015049049742516,0.0
4.0,1.4371495000099384,6.545726309762232,7.3467488570265616,1.0,5.437149500009938,6.545726309762232,7.3467488570265616,1.0,-6.464263581127378,0.0,-0.4412426379495912,-0.8039986407583607,-0.4412426379495912,0.8039986407583607,3.62922264620082,1.919729455130284,0.7259553894231745,43.45161690479721,2.0836269346758223,-3.1817765846332193,0.1914188330125395,6.3432738744360755,0.9981952251726472,2.0952961892647234e-21,1.2571592924903938,175.2739372562196,-0.6430567071633428,-3.16595142726539,0.4325435985556643,1.7301743942226573,8.805670940741802,23.458435839841687,9.86964357712861,1.0,-6.438699021792841,0.0,-2.9705534096554946,0.0,-0.4603911456802814,0.0
10.0,0.23352993571769057,5.7019470962737255,6.980361793128669,1.0,10.23352993571769,5.7019470962737255,6.980361793128669,1.0,-6.335305348649408,0.0,-0.3225282222396308,-1.2293466147683627,-0.3225282222396308,1.2293466147683627,6.011329117102711,11.075005323781294,0.666877270944045,48.17349383227551,0.36117364128131146,-2.8800552400710777,1.9951794672077525,41.446553072239375,0.8220191639522302,1.0727866957124064,1.3888622497050727,131.9926094942848,-0.8939021446654397,-0.6636090787968376,3.868022324289569,38.680223242895686,38.853589630299425,4.300277643543594,6.750068727260067,1.0,-6.937491846657702,0.0,0.09371155969881556,-2.3646864802376313,0.09371155969881556,2.3646864802376313
3.0,1.7862133897729298,7.40200217187412,7.496738350217972,1.0,4.7862133897729295,7.40200217187412,7.496738350217972,1.0,-6.466534101158077,0.0,-0.5151021245299463,-0.6890726126288146,-0.5151021245299463,0.6890726126288146,1.9587663202623522,4.622237694231925,0.7813232676584154,38.61810728320448,0.865381718683915,-2.5070439220813925,-0.27845323768866315,28.16371889864761,0.9938883981401281,5.198589598618805e-11,1.5955045560905565,192.28198823699887,-0.7356986253656224,-2.446422988832992,0.7911676977543834,2.3735030932631505,8.313209039471914,18.968277551549754,9.207462713685342,1.0,-6.477108062658642,0.0,-2.1269080539394847,0.0,-0.6034465970872182,0.0
6.0,1.7358876154291332,7.035942684823247,7.591063553325046,1.0,7.735887615429133,7.035942684823247,7.591063553325046,1.0,-6.714809493058183,0.0,-0.4381270301334361,-0.9798511662895255,-0.4381270301334361,0.9798511662895255,13.156623514851658,2.3428112800882817,0.5423932545747195,57.15329285774542,1.7073504955334142,-2.5863428361296195,1.0838524667335498,47.52072493800502,0.9222888359125287,0.05549541039548554,1.5465853730303882,139.97616654326697,-0.5586442421961135,-1.676114070155516,2.3062254620058376,13.837352772035025,19.04557911120147,14.894459082568876,8.708533381284449,1.0,-6.962098777329254,0.0,-0.8732173019775988,-1.4046709241718764,-0.8732173019775988,1.4046709241718764
2.0,5.23652158570549,12.87361599548072,8.696013686562393,1.0,7.23652158570549,12.87361599548072,8.696013686562393,1.0,-7.005912753742956,0.0,-0.8450504664097189,-0.564629103349152,-0.8450504664097189,0.564629103349152,0.9758525128695336,3.126758287008354,0.8274700554303607,34.160278105891194,1.2792802106321923,-3.7305459051538765,-0.09381040254751977,18.824414658362983,0.9996839750896568,5.533825862522646e-53,1.0722291325979567,182.09417824328813,-0.9527535601545898,-3.7271155785957224,0.4450643137897774,0.8901286275795548,21.37509136712465,34.356222789096215,11.470375705003525,1.0,-6.996621855045003,0.0,-3.6327850699228796,0.0,-0.840968780035633,0.0
1.0,0.18218802494888417,4.643035445326499,6.805278722407667,1.0,1.182188024948884,4.643035445326499,6.805278722407667,1.0,-6.072768484809515,0.0,-0.3662551187990778,-0.24602346959907181,-0.3662551187990778,0.24602346959907181,0.9589907684875687,4.6781884415365305,0.8284485141215598,34.06030880288367,0.8550318248159788,-2.593137750486675,0.43119913315284764,3.3063696648525824,0.9864549572415939,6.236451074108676e-07,1.5425327864859042,164.5589639576251,-0.7217147251201829,-2.474033393490041,4.022973712192058,4.022973712192058,4.647513079242491,15.303378207996113,8.557597390777525,1.0,-6.215915032151147,0.0,-1.9602646605248062,0.0,-0.3814176981015749,0.0
9.0,0.5931567282580856,5.584621089781631,7.021591789930726,1.0,9.593156728258085,5.584621089781631,7.021591789930726,1.0,-6.38206893357078,0.0,-0.3197614281799743,-1.1835940034262815,-0.3197614281799743,1.1835940034262815,1.538560868682098,7.085149186953685,0.7990019816057159,36.965095976557485,0.5645611538237533,-1.3877645659863949,-0.31971216258513474,2.9151640979541087,0.9744743926606658,0.00011958984788268708,2.8823332847937944,217.72305740142116,-0.7701254125408376,-1.1404573448151525,0.27765680566667733,2.498911251000096,3.3773005838966883,7.8997387128683405,7.391923722205041,1.0,-6.20684233777415,0.0,-0.5925406922154489,-0.4393414735072113,-0.5925406922154489,0.4393414735072113
8.0,0.35271437524109767,5.496693946222146,6.9663052767749924,1.0,8.352714375241097,5.496693946222146,6.9663052767749924,1.0,-6.304592048905491,0.0,-0.3308566139347561,-1.1024499499551286,-0.3308566139347561,1.1024499499551286,37.92309529402312,7.759082234533945,0.2949098341984437,72.84786928397236,0.5155248880076166,-0.8825009719636605,-1.5693931879405771,36.640568130696735,0.49014196350656536,17.091653011400187,4.532572911619083,313.72984089615943,-0.8255386785368908,-2.523065636203497,2.7180596230497103,21.744476984397682,22.82246586935582,15.920810787469986,8.6638322344416,1.0,-6.820096520597163,0.0,-0.9218678569222158,-1.580036365072807,-0.9218678569222158,1.580036365072807
9.0,0.31653491151464525,2.940463494075177,6.642931880119727,1.0,9.316534911514646,2.940463494075177,6.642931880119727,1.0,-6.410947337946192,0.0,-0.1159922710867686,-1.199903581139422,-0.1159922710867686,1.199903581139422,5.266383732600935,31.539935069009825,0.6837659569679108,46.861366222466565,0.1268233428904639,-3.587056428603368,-0.4588393730769902,15.580738868772341,0.991917886411687,2.1565079934568287e-09,1.1151204558991041,185.5347428028229,-0.29283509626585935,-3.54259439671588,0.46348226641964224,4.17134039777678,8.000645075378275,23.57674957616205,9.892691180569749,1.0,-6.408542418331502,0.0,-3.0786329124863454,0.0,-0.40551584975190064,0.0
